issue_number,comment_count,has_solution_comment,all_comments_text,solution_comments,unique_commenters
99991,5,1,"from the linker documentation the –b symbolic(functions) options are intended for specialized dynamic objects and are not recommended for general use. although these options can reduce runtime relocation overhead, they can compromise bindings that expect interposition. to reduce runtime relocation processing, the creation of a version definition or use of direct bindings is recommended over using these options. in other words it is an optimization technique to shorten relocation times. framework.so is by design supposed to be imported by many other libraries (all tf's own python bindings and many other libs which depend on it). yes, it does not work well, but that is a different discussion, and a decision which had been made many years ago, so we are stuck with it. main point of this issue is the need to control and limit exported symbols by providing version script to framework.so.2, though matching pr ( [url] introduces version script which still exports [everything ]( [url] yes, the general idea of properly controlling exported symbols is what we would like to have, the bigger [inline code] has it (but still exports tons of stuff), [inline code] by design is a small subset of tf, that can be exported by anyone, thus its entire body is exported. in other words, the version script part did not change the behavior, the symbolic-functions arg broke mac build, and i don't think the symbolic optimization technique is appropriate for a binary which is being loaded all over the place (both automatically via dynamic section resolution and often manually by [inline code] in downstream projects), as it is likely to brake downstream projects in weird ways. |SEP| -google i'm not sure how [url] could break mac build since all options shouldn't affect mac build in any way to my understanding (they don't touch select case for mac build at all). introduces version script which still exports everything it doesn't. it shouldn't change what is exported, just add [inline code] version to all already global symbols. in other words, the version script part did not change the behavior, the symbolic-functions arg broke mac build, and i don't think the symbolic optimization technique is appropriate for a binary which is being loaded all over the place (both automatically via dynamic section resolution and often manually by dlopen() in downstream projects), as it is likely to brake downstream projects in weird ways. this pr was aimed at fixing tf already breaking in weird ways due to symbol interposition (which the symbolic flag is supposed to fix). if tensorflow is used by the application that already links with llvm libraries (common case), it can break in non-trivial ways because tf so files would end up using linked llvm instead of the llvm they were statically linked to (and they were linked against unversioned llvm symbols due to static llvm linking so the consumer using versioned llvm on their end wouldn't help). another way to fix it is to carefully control what is exported and mark all thirdparty symbols as hidden but it looks like the build already deteriorated in that regard so it'd be non-trivial from someone with no in-depth knowledge of the project to do. i.e. [inline code] depends on llvm ostream symbols from [inline code] (probably unintentionally, but that's why i had to change the linker script since the old one stopped working at some point because it was forgotten/not included in the pywrap refactor). so to solve it either the code would need to be modified or tensorflow cc should end up being linked to some static libs that framework already links to. |SEP| -google i'm not sure how []( [url] could break mac build since all options shouldn't affect mac build in any way to my understanding (they don't touch select case for mac build at all). i think this is because of [code block] (i added a comment on the pr too) it seems that for windows the target is not being used, but for mac it is and then the select results in a bad attribute resolution |SEP| [-google]( [url] i'm not sure how []( [url] could break mac build since all options shouldn't affect mac build in any way to my understanding (they don't touch select case for mac build at all). i think this is because of [code block] (i added a comment on the pr too) it seems that for windows the target is not being used, but for mac it is and then the select results in a bad attribute resolution i've tried the suggested fix and got another error: [code block] so i'm going to roll the pr back. |SEP| looks like macos build fails due to buggy pywrap bazel function from xla repo (it should either handle this case correctly or disallow [inline code] values). created an issue there: [url]","-google i'm not sure how [url] could break mac build since all options shouldn't affect mac build in any way to my understanding (they don't touch select case for mac build at all). introduces version script which still exports everything it doesn't. it shouldn't change what is exported, just add [inline code] version to all already global symbols. in other words, the version script part did not change the behavior, the symbolic-functions arg broke mac build, and i don't think the symbolic optimization technique is appropriate for a binary which is being loaded all over the place (both automatically via dynamic section resolution and often manually by dlopen() in downstream projects), as it is likely to brake downstream projects in weird ways. this pr was aimed at fixing tf already breaking in weird ways due to symbol interposition (which the symbolic flag is supposed to fix). if tensorflow is used by the application that already links with llvm libraries (common case), it can break in non-trivial ways because tf so files would end up using linked llvm instead of the llvm they were statically linked to (and they were linked against unversioned llvm symbols due to static llvm linking so the consumer using versioned llvm on their end wouldn't help). another way to fix it is to carefully control what is exported and mark all thirdparty symbols as hidden but it looks like the build already deteriorated in that regard so it'd be non-trivial from someone with no in-depth knowledge of the project to do. i.e. [inline code] depends on llvm ostream symbols from [inline code] (probably unintentionally, but that's why i had to change the linker script since the old one stopped working at some point because it was forgotten/not included in the pywrap refactor). so to solve it either the code would need to be modified or tensorflow cc should end up being linked to some static libs that framework already links to. |SEP| [-google]( [url] i'm not sure how []( [url] could break mac build since all options shouldn't affect mac build in any way to my understanding (they don't touch select case for mac build at all). i think this is because of [code block] (i added a comment on the pr too) it seems that for windows the target is not being used, but for mac it is and then the select results in a bad attribute resolution i've tried the suggested fix and got another error: [code block] so i'm going to roll the pr back.",4
100134,1,0,"pr opened here, thanks a lot! [url]",,1
100138,1,0,pr opened here: [url],,1
100234,1,0,"pr opened here, thanks! [url]",,1
100237,4,1,"i was able to reproduce your issue on colab using tensorflow versions 2.19.0 and 2.20.0. here, i am providing my [gist]( [url] for your reference. thank you! |SEP| pr opened here, thanks: [url] |SEP| hi , apologies for the delay, thanks for raising your issue here. i see you have already taken the initiative and submitted a [pull request]( [url] for this! that is awesome. once it is merged, the problem should be resolved. thanks again for both reporting the issue and contributing a fix to tensorflow! |SEP| that's alright! thanks for your noting again!","hi , apologies for the delay, thanks for raising your issue here. i see you have already taken the initiative and submitted a [pull request]( [url] for this! that is awesome. once it is merged, the problem should be resolved. thanks again for both reporting the issue and contributing a fix to tensorflow!",2
100300,2,1,"i believe this should fix it when you drop inputs= , s, c = lstm(self. n s, return state=true, return sequences=true)(context, initial state=[s, c]) |SEP| you are right! i was migrating a notebook which uses very old version of tf and it has this [inline code] .","i believe this should fix it when you drop inputs= , s, c = lstm(self. n s, return state=true, return sequences=true)(context, initial state=[s, c])",2
100317,1,0,"hi, thank you for reporting this issue with tensorflow lite in play services. to help us provide effective debugging assistance, i notice that the issue report is currently missing several critical pieces of information that are required for troubleshooting. missing required information: could you please provide the following details: 1. system information: android device information (use adb shell getprop ro.build.fingerprint) tensorflow lite in play services sdk version (found in build.gradle) google play services version (settings apps google play services app details) android api level and device model 2. issue description: what specific problem are you experiencing? what error messages are you seeing? (full error logs/stack traces) what behavior did you expect vs. what actually happened? 3. reproducible code: please share the minimal code that reproduces the issue include relevant build.gradle dependencies share your model loading/inference code 4. logs and additional info: full logcat output when the error occurs any relevant console output or crash reports model details (size, format, custom operations used) 5. environment context: are you using tflite converted models? which tensorflow lite apis are you using? (task library, interpreter api, etc.) any custom delegates or acceleration being used? this appears to be a template issue that wasn't completed. following the tensorflow issue tracker guidelines, complete bug reports help us provide faster and more accurate assistance. i'm standing by to help once you provide the requested information! thank you for your cooperation and patience.",,1
100327,1,1,"hi , apologies for the delay, and thanks for raising your concern here. the issue comes from the way [inline code] was defined. in your code it was written as a method [inline code] and passed into [inline code] . this caused keras to treat it as a python method, which cannot be deserialized. the fix is to define [inline code] as a stand-alone function, decorate it with [inline code] , and then pass it directly into [inline code] . this way, keras recognizes it as a registered function and can save/reload the model correctly. i have created a colab [gist]( [url] with the corrected implementation for your reference. hope this will helps to you. thank you!","hi , apologies for the delay, and thanks for raising your concern here. the issue comes from the way [inline code] was defined. in your code it was written as a method [inline code] and passed into [inline code] . this caused keras to treat it as a python method, which cannot be deserialized. the fix is to define [inline code] as a stand-alone function, decorate it with [inline code] , and then pass it directly into [inline code] . this way, keras recognizes it as a registered function and can save/reload the model correctly. i have created a colab [gist]( [url] with the corrected implementation for your reference. hope this will helps to you. thank you!",1
100434,1,0,"hi -1995 , thank you for the report. tensorflow lite has formally transitioned to [litert]( [url] where all future development now occurs. please test if this xcode 26 build failure persists using the [latest litert build]( [url] if the issue remains, please let us know so we can migrate this discussion to the litert repository for resolution. going forward, please file new reports in the [litert repository]( [url] see the [announcement blog]( [url] and [migration guide]( [url] for details.",,1
100442,3,0,"hi, yes, this is default and expected behavior in tensorflow. those early gpu/cuda “warnings” appear before the logger (absl::initializelog()) is initialized, so tf cpp min log level doesn’t suppress them. they are harmless messages, and once tensorflow is fully initialized, the log level works normally. unfortunately, there’s no built-in way to completely hide these startup messages without redirecting stderr or modifying the tf source. they can be annoying during debugging, but they do not indicate a real error and won’t appear again during model training or normal execution. |SEP| hello, thank you for a quick reply! unfortunately, there’s no built-in way to completely hide these startup messages without redirecting stderr or modifying the tf source. so is there no way at all for me to remove them? as i am playing with parallelism, they are displayed multiple times and completely clutter the output... thanks! |SEP| hi , thanks for your pointers here. hi -dorey , apologies for the delay, and thanks for raising your concern here. the tensorflow package includes gpu/xla support, which is why you are seeing those warnings. even if your machine has no gpu, tensorflow tries to initialize gpu backends like cudnn, cublas, and cufft, resulting in these warnings. [inline code] if you want to remove these warnings and use cpu only, you can install the cpu-only package with the following command: [code block] after this, importing tensorflow will show only minimal informational logs about cpu optimizations, and all gpu-related warnings will disappear. i tried this myself, and the warnings were gone. i am attaching a screenshot for your reference. thank you!",,3
100500,1,0,"pr opened here, thanks a lot: [url]",,1
100517,2,1,"i was able to reproduce your issue on colab using tensorflow version 2.19.0 and 2.20.0 here, i am providing [gist]( [url] for your reference. thank you! |SEP| hi , sorry for the delay, and thanks for your patience. this happens because [inline code] internally uses the [inline code] op, which produces string tensors. xla does not support string operations, so there is no xla kernel for [inline code] . since everything inside a [inline code] function must be xla-compatible, the compilation fails. as a workaround, you can move [inline code] outside the compiled function or disable [inline code] while debugging. i tested this locally and it works fine. i have attached a colab [gist]( [url] for reference. thank you!","hi , sorry for the delay, and thanks for your patience. this happens because [inline code] internally uses the [inline code] op, which produces string tensors. xla does not support string operations, so there is no xla kernel for [inline code] . since everything inside a [inline code] function must be xla-compatible, the compilation fails. as a workaround, you can move [inline code] outside the compiled function or disable [inline code] while debugging. i tested this locally and it works fine. i have attached a colab [gist]( [url] for reference. thank you!",1
100519,2,0,"i was able to reproduce your issue on colab using tensorflow version 2.19.0 and 2.20.0 here, i am providing [gist]( [url] for your reference. thank you! |SEP| hi , sorry for the delay, and thanks for your patience. this is expected. [inline code] does not currently have an xla kernel, so compilation fails when [inline code] is enabled. if you only need the pooled output, you can switch to [inline code] that works with xla. i tested this locally and it runs fine. i have attached a colab [gist]( [url] for reference. if you also need the argmax indices, you will have to disable [inline code] for this function. thank you!",,1
